#  Time      R1      e_R1      R2      e_R2       R3     e_R3      R4       e_R4
 108.800    50.00     7.07    11.00     3.32     4.00     2.00     1.00     2.00
 110.080    35.00     5.92    11.00     3.32     4.00     2.00     1.00     2.00
 111.360    31.00     5.57    11.00     3.32     2.00     1.41     3.00     1.73
 112.640    48.00     6.93    11.00     3.32     3.00     1.73     3.00     1.73
 113.920    37.00     6.08    10.00     3.16     2.00     1.41     1.00     2.00
 115.200    36.00     6.00     5.00     2.24     2.00     1.41     2.00     1.41
 116.480    38.00     6.16     9.00     3.00     0.10     5.00     0.10     5.00
 117.760    28.00     5.29     5.00     2.24     4.00     2.00     1.00     2.00
 119.040    30.00     5.48     5.00     2.24     2.00     1.41     1.00     2.00
 120.320    26.00     5.10     6.00     2.45     2.00     1.41     1.00     2.00
 121.600    31.00     5.57     8.00     2.83     0.10     5.00     0.10     5.00
 122.880    17.00     4.12     5.00     2.24     0.10     5.00     0.10     5.00
 124.160    32.00     5.66     6.00     2.45     2.00     1.41     1.00     2.00
 125.440    19.00     4.36     8.00     2.83     1.00     2.00     0.10     5.00
 126.720    20.00     4.47     2.00     1.41     3.00     1.73     0.10     5.00
