#Time      R1        e_R1    R2        e_R2     R3       e_R3      R4     e_R4
  99.047  2149.00    46.36   535.00    23.13   177.00    13.30    44.00     6.63
 100.240  2125.00    46.10   552.00    23.49   167.00    12.92    43.00     6.56
 101.433  2115.00    45.99   504.00    22.45   154.00    12.41    68.00     8.25
 102.627  2089.00    45.71   477.00    21.84   152.00    12.33    51.00     7.14
 103.820  2021.00    44.96   503.00    22.43   162.00    12.73    56.00     7.48
 105.013  2099.00    45.81   538.00    23.19   168.00    12.96    49.00     7.00
 106.207  2085.00    45.66   513.00    22.65   151.00    12.29    73.00     8.54
 107.400  1999.00    44.71   531.00    23.04   173.00    13.15    51.00     7.14
 108.593  2084.00    45.65   499.00    22.34   168.00    12.96    56.00     7.48
 109.787  2001.00    44.73   474.00    21.77   171.00    13.08    55.00     7.42
 110.980  1970.00    44.38   550.00    23.45   165.00    12.85    66.00     8.12
 112.173  2016.00    44.90   510.00    22.58   158.00    12.57    54.00     7.35
 113.367  2105.00    45.88   510.00    22.58   174.00    13.19    56.00     7.48
 114.560  2028.00    45.03   495.00    22.25   156.00    12.49    52.00     7.21
 115.753  1950.00    44.16   488.00    22.09   163.00    12.77    47.00     6.86
 116.947  1899.00    43.58   502.00    22.41   154.00    12.41    40.00     6.32
 118.140  2096.00    45.78   496.00    22.27   144.00    12.00    52.00     7.21
